trial,trial_type,site,date,time,chick,nest,tarsus,mass,age,sex,setup,np_side,left_id,left_type,left_date,left_sex,right_id,right_type,right_date,right_sex,np_sex,p_sex,trial_np_diffdate,trial_p_diffdate,np_used,p_used,scoring_order,trial_success,out_time,left_delay,right_delay,first_side,left_duration,middle_duration,right_duration,chamber_duration,total_duration,trial_repeat,np_delay,p_delay,c_delay,first_type,np_duration,p_duration,c_duration
1A,A,Lamboara SI,20/04/2022,15,FJ02510,43,16.54,5.45,1,m,1,l,FJ02508,np,20/04/2022,m,NA,c,NA,NA,m,NA,0,NA,1,NA,54,1,34.939,51.651,36.553,r,44.81,415.482,348.657,91.051,900,NA,51.651,NA,36.553,c,44.81,NA,348.657
1B,B,Lamboara SI,20/04/2022,15,FJ02510,43,16.54,5.45,1,m,1,l,FJ02508,np,20/04/2022,m,FJ02243,p,20/04/2022,m,m,m,0,0,2,1,55,1,9.207,252.74,87.251,r,392.788,332.593,117.639,56.98,900,NA,252.74,87.251,NA,p,392.788,117.639,NA
2A,A,Lamboara SI,20/04/2022,16,FJ02511,29,16.46,5.80,1,m,2,l,FJ02243,np,20/04/2022,m,NA,c,NA,NA,m,NA,0,NA,2,NA,70,1,92.38,326.135,183.147,r,69.612,338.57,22.881,468.937,900,NA,326.135,NA,183.147,c,69.612,NA,22.881
2B,B,Lamboara SI,20/04/2022,16,FJ02511,29,16.46,5.80,1,m,2,r,FJ02310,p,20/04/2022,f,FJ02508,np,20/04/2022,m,m,f,0,0,3,1,61,1,6.36,529.98,466.651,r,77.001,377.229,50.229,395.541,900,NA,466.651,529.98,NA,np,50.229,77.001,NA
3A,A,Ambondro beach,21/04/2022,14,FJ02512,205,18.40,4.58,1,m,3,r,NA,c,NA,NA,FJ02310,np,20/04/2022,f,f,NA,1,NA,2,NA,11,1,99.69,267.648,112.509,r,52.458,520.196,96.718,230.628,900,NA,112.509,NA,267.648,np,96.718,NA,52.458
3B,B,Ambondro beach,21/04/2022,14,FJ02512,205,18.40,4.58,1,m,3,l,FJ02243,np,20/04/2022,m,FJ02235,p,21/04/2022,f,m,f,1,0,3,1,17,1,31.523,44.434,37.503,r,230.193,501.042,22.883,145.882,900,NA,44.434,37.503,NA,p,230.193,22.883,NA
4A,A,Ambondro beach,21/04/2022,15,FJ02513,205,18.95,4.81,3,f,4,r,NA,c,NA,NA,FJ02243,np,20/04/2022,m,m,NA,1,NA,4,NA,18,1,0.286,3.228,1.519,r,159.244,148.62,239.087,353.049,900,NA,1.519,NA,3.228,np,239.087,NA,159.244
4B,B,Ambondro beach,21/04/2022,15,FJ02513,205,18.95,4.81,3,f,4,r,FJ02235,p,21/04/2022,f,FJ02310,np,20/04/2022,f,f,f,1,0,3,2,51,1,176.312,833.991,NA,l,5.412,640.99,0,253.598,900,NA,NA,833.991,NA,p,0,5.412,NA
5A,A,A,27/04/2022,14,FJ02514,19,25.33,14.20,21,f,1,l,FJ02235,np,21/04/2022,f,NA,c,NA,NA,f,NA,6,NA,3,NA,73,1,278.657,423.449,NA,l,4.561,71.012,0,824.427,900,NA,423.449,NA,NA,np,4.561,NA,0
6A,A,A,27/04/2022,15,FJ02255,19,24.53,12.50,18,m,3,r,NA,c,NA,NA,FJ02310,np,20/04/2022,f,f,NA,7,NA,4,NA,56,0,NA,NA,NA,NA,0,0,0,900,900,NA,NA,NA,NA,NA,NA,NA,NA
8A,A,E,27/04/2022,18,FJ02227,204,26.20,22.00,23,m,4,r,NA,c,NA,NA,FJ02310,np,20/04/2022,f,f,NA,7,NA,5,NA,22,1,629.298,629.868,NA,l,270.132,0.57,0,629.298,900,NA,NA,NA,629.868,c,0,NA,270.132
7A,A,E,27/04/2022,18,FJ02228,204,26.22,22.30,23,m,3,r,NA,c,NA,NA,FJ02235,np,21/04/2022,f,f,NA,6,NA,4,NA,10,0,NA,NA,NA,NA,0,0,0,900,900,NA,NA,NA,NA,NA,NA,NA,NA
9A,A,Lamboara SI,28/04/2022,14,FJ02519,-301,22.89,10.39,14,f,1,l,FJ02235,np,21/04/2022,f,NA,c,NA,NA,f,NA,7,NA,5,NA,3,1,337.528,340.755,361.833,l,122.668,78.709,15.381,683.242,900,NA,340.755,NA,361.833,np,122.668,NA,15.381
10A,A,Lamboara West Beach,28/04/2022,16,FJ02520,207,18.40,5.00,1,m,2,l,FJ02235,np,21/04/2022,f,NA,c,NA,NA,f,NA,7,NA,6,NA,27,1,6.076,202.042,11.403,r,127.426,265.577,405.667,101.33,900,NA,202.042,NA,11.403,c,127.426,NA,405.667
