trial,trial_type,site,date,time,chick,nest,tarsus,mass,age,sex,setup,maze_area,donour_id,donour_sex,odour_type,odour_date,odour_trial_diffdate,odours_diffdate,odour_used,scoring_order,trial_success,out_time,delay,first_side,duration
1A,A,Lamboara SI,20/04/2022,15,FJ02510,43,16.54,5.45,1,NA,1,left,FJ02508,NA,np,20/04/2022,0,NA,NA,54,1,34.939,51.651,0,44.81
1A,A,Lamboara SI,20/04/2022,15,FJ02510,43,16.54,5.45,1,NA,1,right,NA,NA,c,NA,NA,NA,1,54,1,34.939,36.553,1,348.657
1A,A,Lamboara SI,20/04/2022,15,FJ02510,43,16.54,5.45,1,NA,1,middle,NA,NA,NA,NA,NA,NA,NA,54,1,34.939,NA,NA,415.482
1A,A,Lamboara SI,20/04/2022,15,FJ02510,43,16.54,5.45,1,NA,1,chamber,NA,NA,NA,NA,NA,NA,NA,54,1,34.939,NA,NA,91.051
1B,B,Lamboara SI,20/04/2022,15,FJ02510,43,16.54,5.45,1,NA,1,left,FJ02508,NA,np,20/04/2022,0,0,2,55,1,9.207,252.74,0,392.788
1B,B,Lamboara SI,20/04/2022,15,FJ02510,43,16.54,5.45,1,NA,1,right,FJ02243,NA,p,20/04/2022,0,0,1,55,1,9.207,87.251,1,117.639
1B,B,Lamboara SI,20/04/2022,15,FJ02510,43,16.54,5.45,1,NA,1,middle,NA,NA,NA,NA,NA,NA,NA,55,1,9.207,NA,NA,332.593
1B,B,Lamboara SI,20/04/2022,15,FJ02510,43,16.54,5.45,1,NA,1,chamber,NA,NA,NA,NA,NA,NA,NA,55,1,9.207,NA,NA,56.98
2A,A,Lamboara SI,20/04/2022,16,FJ02511,29,16.46,5.80,1,NA,2,left,FJ02243,NA,np,20/04/2022,0,NA,2,70,1,92.38,326.135,0,69.612
2A,A,Lamboara SI,20/04/2022,16,FJ02511,29,16.46,5.80,1,NA,2,right,NA,NA,c,NA,NA,NA,NA,70,1,92.38,183.147,1,22.881
2A,A,Lamboara SI,20/04/2022,16,FJ02511,29,16.46,5.80,1,NA,2,middle,NA,NA,NA,NA,NA,NA,NA,70,1,92.38,NA,NA,338.57
2A,A,Lamboara SI,20/04/2022,16,FJ02511,29,16.46,5.80,1,NA,2,chamber,NA,NA,NA,NA,NA,NA,NA,70,1,92.38,NA,NA,468.937
2B,B,Lamboara SI,20/04/2022,16,FJ02511,29,16.46,5.80,1,NA,2,left,FJ02310,NA,p,20/04/2022,0,0,1,61,1,6.36,529.98,0,77.001
2B,B,Lamboara SI,20/04/2022,16,FJ02511,29,16.46,5.80,1,NA,2,right,FJ02508,NA,np,20/04/2022,0,0,3,61,1,6.36,466.651,1,50.229
2B,B,Lamboara SI,20/04/2022,16,FJ02511,29,16.46,5.80,1,NA,2,middle,NA,NA,NA,NA,NA,NA,NA,61,1,6.36,NA,NA,377.229
2B,B,Lamboara SI,20/04/2022,16,FJ02511,29,16.46,5.80,1,NA,2,chamber,NA,NA,NA,NA,NA,NA,NA,61,1,6.36,NA,NA,395.541
3A,A,Ambondro beach,21/04/2022,14,FJ02512,205,18.40,4.58,1,NA,3,left,NA,NA,c,NA,NA,NA,NA,11,1,99.69,267.648,0,52.458
3A,A,Ambondro beach,21/04/2022,14,FJ02512,205,18.40,4.58,1,NA,3,right,FJ02310,NA,np,20/04/2022,1,NA,2,11,1,99.69,112.509,1,96.718
3A,A,Ambondro beach,21/04/2022,14,FJ02512,205,18.40,4.58,1,NA,3,middle,NA,NA,NA,NA,NA,NA,NA,11,1,99.69,NA,NA,520.196
3A,A,Ambondro beach,21/04/2022,14,FJ02512,205,18.40,4.58,1,NA,3,chamber,NA,NA,NA,NA,NA,NA,NA,11,1,99.69,NA,NA,230.628
3B,B,Ambondro beach,21/04/2022,14,FJ02512,205,18.40,4.58,1,NA,3,left,FJ02243,NA,np,20/04/2022,1,1,3,17,1,31.523,44.434,0,230.193
3B,B,Ambondro beach,21/04/2022,14,FJ02512,205,18.40,4.58,1,NA,3,right,FJ02235,NA,p,21/04/2022,0,1,1,17,1,31.523,37.503,1,22.883
3B,B,Ambondro beach,21/04/2022,14,FJ02512,205,18.40,4.58,1,NA,3,middle,NA,NA,NA,NA,NA,NA,NA,17,1,31.523,NA,NA,501.042
3B,B,Ambondro beach,21/04/2022,14,FJ02512,205,18.40,4.58,1,NA,3,chamber,NA,NA,NA,NA,NA,NA,NA,17,1,31.523,NA,NA,145.882
4A,A,Ambondro beach,21/04/2022,15,FJ02513,205,18.95,4.81,3,NA,4,left,NA,NA,c,NA,NA,NA,NA,18,1,0.286,3.228,0,159.244
4A,A,Ambondro beach,21/04/2022,15,FJ02513,205,18.95,4.81,3,NA,4,right,FJ02243,NA,np,20/04/2022,1,NA,4,18,1,0.286,1.519,1,239.087
4A,A,Ambondro beach,21/04/2022,15,FJ02513,205,18.95,4.81,3,NA,4,middle,NA,NA,NA,NA,NA,NA,NA,18,1,0.286,NA,NA,148.62
4A,A,Ambondro beach,21/04/2022,15,FJ02513,205,18.95,4.81,3,NA,4,chamber,NA,NA,NA,NA,NA,NA,NA,18,1,0.286,NA,NA,353.049
4B,B,Ambondro beach,21/04/2022,15,FJ02513,205,18.95,4.81,3,NA,4,left,FJ02235,NA,p,21/04/2022,0,1,2,51,1,176.312,833.991,1,5.412
